id,publish,barcode,name,name1s,unit,category0,category1,availability,price,quantity,sale,image,comment
010001,yes,2000000177625,КАРТОФЕЛЬ,DD Картофель вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,250,,no,,
010002,yes,2200009856594,КАРТОФЕЛЬ МОЛОДОЙ,DD Картофель молодой вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,295,,no,,
010003,yes,2200009856600,КАРТОФЕЛЬ КИТАЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010004,yes,2000000177619,ЛУК РЕПЧАТЫЙ,DD Лук репчатый вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,169,,no,,
010005,yes,2000000270132,ЛУК СВЕЖИЙ РЕПЧАТЫЙ,DD Лук свежий репчатый вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,219,,no,,
010006,yes,2000000177623,МОРКОВЬ,DD Морковь вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,249,,no,,
010007,yes,2200009856617,МОРКОВЬ МОЛОДАЯ,DD Морковь молодая вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,309,,no,,
010008,yes,2000000269860,КАПУСТА,DD Капуста белокочанная вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,179,,no,,
010009,yes,2200009856624,КАПУСТА СВЕЖАЯ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010010,yes,2000000177628,СВЕКЛА,DD Свекла вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,179,,no,,
010011,yes,2200009856631,СВЕКЛА МОЛОДАЯ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010012,no,,ЗАПАС 1,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010013,no,,ЗАПАС 2,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010014,no,,ЗАПАС 3,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010015,no,,ЗАПАС 4,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010016,no,,ЗАПАС 5,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010017,no,,ЗАПАС 6,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010018,no,,ЗАПАС 7,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010019,no,,ЗАПАС 8,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010020,yes,2000000177620,БАКЛАЖАН,DD Баклажаны вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,720,,no,,
010021,yes,2200009856648,БАКЛАЖАН ГРУНТОВЫЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010022,yes,2200009856655,ГРИБЫ ВЕШЕНКИ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010023,yes,2000000180146,ГРИБЫ ШАМПИНЬОНЫ,DD Грибы шампиньоны св вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,2 490,,no,,
010024,yes,6971652460037,ГРИБЫ ЭНОКИ,DD Грибы Эноки шт,шт,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,455,,no,,
010025,yes,2000000183038,ИМБИРЬ,DD Имбирь вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 819,,no,,
010026,yes,2000000159436,КАБАЧКИ,DD Кабачки вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,540,,no,,
010027,yes,2200009856662,КАБАЧКИ ГРУНТОВЫЕ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010028,yes,2200009856679,КАПУСТА БОК ЧОЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010029,yes,2000000182658,КАПУСТА БРОККОЛИ,DD Капуста брокколи вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 250,,no,,
010030,yes,2200009856686,КАПУСТА БРЮССЕЛЬСКАЯ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010031,yes,2000000177639,КАПУСТА КРАСНОКОЧАННАЯ,DD Капуста краснокочанная вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,345,,no,,
010032,yes,2200009856693,КАПУСТА МИНИ-ПЕКИН,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010033,yes,2000000173860,КАПУСТА ПЕКИНСКАЯ,DD Капуста пекинская вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,540,,no,,
010034,yes,2000000177631,КАПУСТА ЦВЕТНАЯ,DD Капуста цветная вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,720,,no,,
010035,yes,2200000000873,КУКУРУЗА,DD Кукуруза 1шт,шт,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,214,,no,,
010036,yes,2000000170582,ЛУК БЕЛЫЙ,DD Лук белый вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,650,,no,,
010037,yes,2000000159437,ЛУК КРАСНЫЙ,DD Лук красный вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,399,,no,,
010038,yes,2000000300198,МОРКОВЬ ЖЕЛТАЯ,DD Морковь желтая вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,240,,no,,
010039,yes,2200009856709,ОГУРЦЫ ГРУНТОВЫЕ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010040,yes,2200009856716,ОГУРЦЫ КОРНИШОН,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010041,yes,2200009856723,ОГУРЦЫ КРОКОДИЛ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010042,yes,2000000183039,ОГУРЦЫ МИРИНДА,DD Огурцы миринда вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,499,,no,,
010043,yes,2000000183037,ОГУРЦЫ РАВА,DD Огурцы рава вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,929,,no,,
010044,no,,ОГУРЦЫ (ЗАПАС 1),,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010045,no,,ОГУРЦЫ (ЗАПАС 2),,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010046,yes,2200009856747,ПЕРЕЦ БОЛГАРСКИЙ ЗЕЛЕНЫЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010047,yes,2200009856754,ПЕРЕЦ БОЛГАРСКИЙ КРАСНЫЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010048,yes,2000000177635,ПЕРЕЦ КАЛИФОРНИЯ ЖЕЛТЫЙ,DD Перец калифорния жел вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 200,,no,,
010049,yes,4870200500626,ПЕРЕЦ КАЛИФОРНИЯ ЗЕЛЕНЫЙ,DD Перец калифорния зел вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 599,,no,,
010050,yes,2000000268418,ПЕРЕЦ КАЛИФОРНИЯ КРАСНЫЙ,DD Перец калифорния крас вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 200,,no,,
010051,yes,2000000178445,ПЕРЕЦ ЛАСТОЧКА,Перец ласточка вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 999,,no,,
010052,yes,2000000183032,ПЕРЕЦ ПОЛУГОРЬКИЙ ЗЕЛЕНЫЙ,DD Перец полуг.зелен вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 440,,no,,
010053,yes,2000000183033,ПЕРЕЦ ПОЛУГОРЬКИЙ КРАСНЫЙ,DD Перец полуг.красный вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,1 440,,no,,
010054,yes,2200009856068,ПЕРЕЦ ЧИЛИ,DD Перец Чили вес,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,in stock,2 480,,no,,
010055,no,,ПЕРЕЦ (ЗАПАС 1),,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010056,no,,ПЕРЕЦ (ЗАПАС 2),,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010057,no,,РЕДИС ВЕСОВОЙ,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
010058,no,,РЕДИС ДАЙКОН,,кг,ОВОЩИ/ФРУКТЫ,ОВОЩИ,out of stock,,,no,,
